{'loss': 3.0734, 'learning_rate': 4.652777777777778e-05, 'epoch': 0.21}
{'loss': 0.1841, 'learning_rate': 4.305555555555556e-05, 'epoch': 0.42}
{'loss': 0.1484, 'learning_rate': 3.958333333333333e-05, 'epoch': 0.62}
{'loss': 0.138, 'learning_rate': 3.611111111111111e-05, 'epoch': 0.83}
{'loss': 0.1049, 'learning_rate': 3.263888888888889e-05, 'epoch': 1.04}
{'loss': 0.0874, 'learning_rate': 2.916666666666667e-05, 'epoch': 1.25}
{'loss': 0.0778, 'learning_rate': 2.5694444444444445e-05, 'epoch': 1.46}
{'loss': 0.0665, 'learning_rate': 2.2222222222222223e-05, 'epoch': 1.67}
{'loss': 0.0603, 'learning_rate': 1.8750000000000002e-05, 'epoch': 1.88}
{'loss': 0.0558, 'learning_rate': 1.527777777777778e-05, 'epoch': 2.08}
{'loss': 0.0476, 'learning_rate': 1.1805555555555555e-05, 'epoch': 2.29}
{'loss': 0.043, 'learning_rate': 8.333333333333334e-06, 'epoch': 2.5}
{'loss': 0.0425, 'learning_rate': 4.861111111111111e-06, 'epoch': 2.71}
{'loss': 0.0466, 'learning_rate': 1.388888888888889e-06, 'epoch': 2.92}
